UNICEF Region,UNICEF Region Full,iso3,adm0_name,map_lab,adm0_altnm,adm0_id
ROSA,Regional Office of South Asia,AFG,Afghanistan,Afghanistan,NA,1
NA,#N/A,xAC,Aksai Chin,NA,NA,2
ECARO,Europe and Central Asia Regional Office,ALB,Albania,Albania,NA,3
Non-PDC,Non-Program Document Country,ASM,American Samoa (USA),American Samoa (USA),NA,5
Non-PDC,Non-Program Document Country,AND,Andorra,Andorra,NA,7
ESARO,East and Southern Africa Regional Office,AGO,Angola,Angola,NA,8
LACRO,Latin America and Caribbean Regional Office,ARG,Argentina,Argentina,NA,12
Non-PDC,Non-Program Document Country,ABW,Aruba,Aruba (Neth.),NA,14
NA,#N/A,xAP,Arunachal Pradesh,NA,NA,15
LACRO,Latin America and Caribbean Regional Office,TCA,Turks and Caicos Islands,Turks and Caicos Islands (UK),NA,251
LACRO,Latin America and Caribbean Regional Office,AIA,Anguilla,Anguilla (UK),NA,9
Non-PDC,Non-Program Document Country,ATA,Antarctica,Antarctica,NA,10
LACRO,Latin America and Caribbean Regional Office,ATG,Antigua and Barbuda,Antigua and Barbuda,NA,11
Non-PDC,Non-Program Document Country,AUS,Ashmore and Cartier Islands,Ashmore & Cartier Is. (Aust.),NA,16
Non-PDC,Non-Program Document Country,AUS,Australia,Australia,NA,17
Non-PDC,Non-Program Document Country,AUT,Austria,Austria,NA,18
ECARO,Europe and Central Asia Regional Office,AZE,Azerbaijan,Azerbaijan,NA,19
Non-PDC,Non-Program Document Country,BHS,Bahamas,Bahamas,NA,20
MENARO,Middle East North Africa Regional Office,BHR,Bahrain,Bahrain,NA,21
Non-PDC,Non-Program Document Country,UMI,Baker Island,Baker Island (USA),NA,22
ROSA,Regional Office of South Asia,BGD,Bangladesh,Bangladesh,NA,23
LACRO,Latin America and Caribbean Regional Office,BRB,Barbados,Barbados,NA,24
Non-PDC,Non-Program Document Country,FRA,France,France,NA,85
Non-PDC,Non-Program Document Country,ATF,Bassas da India,Bassas da India (Fr.),NA,25
ECARO,Europe and Central Asia Regional Office,BLR,Belarus,Belarus,NA,26
Non-PDC,Non-Program Document Country,BEL,Belgium,Belgium,"België, Belgique, Belgien",27
LACRO,Latin America and Caribbean Regional Office,BLZ,Belize,Belize,NA,28
Non-PDC,Non-Program Document Country,BMU,Bermuda,Bermuda (UK),NA,30
ROSA,Regional Office of South Asia,BTN,Bhutan,Bhutan,NA,31
LACRO,Latin America and Caribbean Regional Office,VEN,Bird Island,Bird Island,NA,32
LACRO,Latin America and Caribbean Regional Office,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia,33
ECARO,Europe and Central Asia Regional Office,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,NA,34
ESARO,East and Southern Africa Regional Office,BWA,Botswana,Botswana,NA,35
Non-PDC,Non-Program Document Country,BVT,Bouvet Island,Bouvet Island (Norw.),NA,36
LACRO,Latin America and Caribbean Regional Office,BRA,Brazil,Brazil,NA,37
Non-PDC,Non-Program Document Country,GUF,French Guiana,French Guiana (Fr.),NA,86
Non-PDC,Non-Program Document Country,PYF,French Polynesia,French Polynesia (Fr.),NA,87
Non-PDC,Non-Program Document Country,ATF,French Southern Territories,French Southern Territories (Fr.),French Southern and Antarctic Territories,88
WCARO,West and Central Africa Regional Office,GAB,Gabon,Gabon,NA,89
WCARO,West and Central Africa Regional Office,GMB,Gambia,Gambia,The Gambia,90
ECARO,Europe and Central Asia Regional Office,GEO,Georgia,Georgia,NA,92
Non-PDC,Non-Program Document Country,DEU,Germany,Germany,NA,93
WCARO,West and Central Africa Regional Office,GHA,Ghana,Ghana,NA,94
Non-PDC,Non-Program Document Country,GIB,Gibraltar,Gibraltar (UK),NA,95
Non-PDC,Non-Program Document Country,IOT,Chagos Archipelagio,Chagos Archipelagio **,British Indian Ocean Territory,38
LACRO,Latin America and Caribbean Regional Office,VGB,British Virgin Islands,British Virgin Islands (UK),NA,39
Non-PDC,Non-Program Document Country,BRN,Brunei Darussalam,Brunei Darussalam,NA,40
ECARO,Europe and Central Asia Regional Office,BGR,Bulgaria,Bulgaria,NA,41
WCARO,West and Central Africa Regional Office,BFA,Burkina Faso,Burkina Faso,NA,42
ESARO,East and Southern Africa Regional Office,BDI,Burundi,Burundi,NA,43
EAPRO,East Asia and Pacific Regional Office,KHM,Cambodia,Cambodia,NA,44
Non-PDC,Non-Program Document Country,CAN,Canada,Canada,NA,46
WCARO,West and Central Africa Regional Office,CPV,Cape Verde,Cape Verde,Cabo Verde,47
Non-PDC,Non-Program Document Country,CYM,Cayman Islands,Cayman Islands (UK),NA,48
LACRO,Latin America and Caribbean Regional Office,CHL,Chile,Chile,NA,51
NA,#N/A,xxx,China/India,NA,NA,52
EAPRO,East Asia and Pacific Regional Office,CHN,China,China,NA,53
Non-PDC,Non-Program Document Country,CXR,Christmas Island,Christmas Is. (Aust.),NA,54
